Year,Jan,Feb,March,April,May,June,July,Aug,Sept,Oct,Nov,Dec
1917,17.55,18.28,26.65,36.81,43.02,53.15,61.2,57.56,51.1,36.48,31.03,18.64
1918,13.28,21.74,33.19,36.73,47.8,57.61,59.09,59.22,48.76,44.6,30.43,25.16
1919,20.91,22.37,29.61,39.11,47.44,56.16,61.2,58.86,52.9,41.76,28.67,18.39
1920,19.15,23.31,28.65,35.44,46.83,54.68,59.36,57.94,52.7,42.15,29.62,23.52
1921,24.24,25.5,34.7,38.26,47.66,57.72,61.72,59.02,53.71,41.36,30.92,24.8
1922,16.38,21.0,29.37,38.79,48.63,56.91,59.9,59.59,53.04,41.34,31.64,23.5
1923,24.1,18.37,26.1,37.78,46.74,55.71,60.96,58.42,52.63,39.74,31.5,26.35
1924,14.85,24.22,27.16,37.72,44.53,55.26,58.37,58.3,49.39,41.49,30.49,17.33
1925,18.32,26.83,31.35,41.76,46.35,57.0,60.84,57.83,54.28,38.26,29.35,22.75
1926,20.16,26.78,28.09,37.38,47.59,54.61,59.88,59.54,51.94,42.8,29.75,21.81
1927,21.22,27.52,31.26,39.65,47.55,54.86,59.5,56.68,52.5,42.22,33.78,17.83
1928,21.11,23.38,31.39,35.6,47.97,53.85,60.64,58.8,49.5,42.75,31.35,22.51
1929,15.51,15.96,32.14,39.27,46.08,54.23,60.28,58.75,50.97,41.38,27.54,23.22
1930,13.32,28.54,28.62,41.05,46.94,54.7,60.93,59.25,52.57,40.06,29.8,21.33
1931,22.35,27.36,28.33,37.99,45.95,57.16,62.08,58.73,55.02,43.84,32.5,25.86
1932,22.03,25.81,26.37,39.0,47.62,56.35,60.78,59.34,50.95,39.9,28.87,19.35
1933,23.7,17.78,30.4,37.33,47.71,57.18,61.5,58.87,54.73,41.83,30.34,25.47
1934,24.48,22.46,29.62,40.3,50.14,57.0,62.17,60.04,50.76,43.29,34.12,22.91
1935,20.84,25.02,32.2,38.39,45.73,54.82,61.92,59.81,51.33,40.71,29.28,21.25
1936,17.15,14.2,31.35,37.13,49.77,56.61,62.74,60.87,53.44,40.86,27.68,24.57
1937,14.74,20.95,27.95,37.98,48.49,56.16,61.3,61.07,52.3,41.47,29.98,23.47
1938,22.14,25.77,33.84,39.38,47.61,55.99,60.89,60.13,53.26,42.78,27.97,23.86
1939,23.79,18.41,30.24,38.48,48.96,56.16,61.14,58.87,53.51,41.49,29.64,26.6
1940,14.09,24.26,30.13,38.28,47.14,56.21,60.69,59.02,52.56,42.93,28.71,26.42
1941,22.86,23.45,28.09,40.41,49.42,55.78,61.03,59.38,52.14,44.24,31.41,26.56
1942,18.84,20.46,29.68,40.28,46.63,55.53,60.62,58.98,50.5,41.68,31.55,23.13
1943,18.46,23.63,26.31,39.74,47.21,56.52,60.76,59.94,50.27,40.42,28.89,22.28
1944,21.13,23.9,27.21,37.17,49.06,55.78,58.98,58.64,52.09,41.23,32.11,20.62
1945,20.52,24.76,33.55,37.87,45.39,53.49,59.77,59.04,52.03,41.14,30.72,19.35
1946,20.82,22.5,34.66,41.18,46.24,55.04,60.53,58.12,51.64,41.23,31.28,25.56
1947,21.24,19.71,27.39,38.89,47.03,54.57,59.09,60.93,52.86,46.18,28.67,22.87
1948,16.79,20.77,27.41,40.68,47.26,55.98,60.17,58.59,52.11,39.36,31.01,22.41
1949,16.12,20.89,29.79,39.02,48.88,56.53,61.32,58.53,50.36,42.1,32.09,22.42
1950,19.56,24.01,27.16,36.12,46.63,54.7,58.8,56.5,51.48,44.2,28.62,22.28
1951,19.26,23.0,27.03,37.4,47.53,53.96,60.46,58.89,50.76,41.97,27.21,21.07
1952,21.7,24.67,27.14,38.79,47.46,57.45,60.35,59.49,51.37,37.24,28.38,24.12
1953,26.01,24.51,32.16,36.75,46.99,56.98,60.87,58.62,50.94,42.08,32.18,23.41
1954,20.07,28.98,27.77,41.13,45.7,55.83,61.65,59.02,52.77,42.13,32.05,23.32
1955,19.44,19.71,27.81,40.12,48.29,53.67,61.63,60.51,52.2,41.32,26.74,21.52
1956,20.89,21.31,28.0,36.61,48.85,56.75,59.92,58.08,50.25,42.89,28.35,25.18
1957,16.97,27.61,30.56,39.29,48.09,56.43,61.02,58.5,51.01,41.11,30.67,26.26
1958,21.42,21.85,28.56,38.5,48.81,55.31,60.17,59.92,52.88,41.63,31.41,21.09
1959,18.55,21.74,29.12,38.68,48.56,56.91,60.1,60.33,52.41,41.79,26.58,25.97
1960,20.16,20.61,24.6,39.83,46.2,55.74,60.26,59.14,53.1,42.26,31.39,20.08
1961,18.19,26.33,32.52,36.34,46.04,55.94,60.17,59.85,51.15,40.69,30.18,21.49
1962,16.11,24.17,26.91,38.71,49.57,55.17,59.14,58.23,51.3,43.77,32.32,22.71
1963,12.97,22.08,31.33,39.61,48.04,55.96,60.37,59.02,53.4,45.21,32.77,17.49
1964,20.17,20.14,26.78,39.18,48.42,55.29,61.41,57.79,50.79,39.65,31.14,22.37
1965,21.25,20.8,24.3,40.23,48.2,54.61,59.76,58.33,50.23,41.22,33.82,25.97
1966,16.39,20.59,30.49,37.53,46.54,54.7,61.72,58.12,51.96,39.33,31.95,22.77
1967,22.3,20.79,31.46,39.2,44.76,55.58,59.77,57.78,51.08,40.77,30.45,22.37
1968,18.57,22.01,31.15,37.96,45.7,55.69,59.95,58.46,50.65,41.79,31.32,19.92
1969,19.81,23.13,24.55,39.96,48.11,54.5,61.41,59.58,52.88,39.96,30.0,23.81
1970,17.04,23.31,27.72,37.51,47.73,55.92,60.71,59.9,51.87,40.46,30.78,23.07
1971,18.84,22.35,27.73,37.06,45.34,56.53,59.22,58.98,52.0,43.48,31.06,24.75
1972,18.91,21.83,31.42,38.14,47.59,55.33,59.4,58.95,52.23,41.14,30.45,20.34
1973,19.83,23.13,34.32,37.42,46.26,56.07,60.31,59.47,52.45,43.3,32.83,23.63
1974,21.31,22.71,32.85,38.8,47.86,54.82,60.67,57.58,49.24,40.8,31.82,24.03
1975,21.81,22.44,27.9,35.62,47.79,55.15,60.98,58.78,50.02,41.68,31.03,24.01
1976,18.37,27.5,30.22,39.11,45.84,54.66,59.95,57.34,51.19,37.22,26.38,18.68
1977,12.52,23.56,31.37,40.57,49.23,57.11,61.36,59.54,54.07,41.27,32.34,23.31
1978,16.86,18.14,29.89,39.76,47.61,55.76,60.69,58.78,53.4,40.44,31.1,19.38
1979,12.58,17.56,31.06,38.53,46.8,54.57,60.49,58.66,52.36,42.12,29.03,24.93
1980,21.85,22.41,28.31,38.41,47.79,55.4,61.97,59.77,53.35,39.51,30.99,24.21
1981,21.29,24.71,31.05,42.37,46.85,57.36,61.36,59.25,51.76,40.95,33.22,23.86
1982,15.12,21.79,31.21,36.3,48.43,54.03,60.78,59.59,52.05,41.14,31.08,26.6
1983,23.86,27.19,32.76,35.8,45.36,54.54,61.0,62.13,52.47,43.3,33.28,16.52
1984,18.72,25.93,29.17,37.96,47.19,56.08,60.24,60.4,50.25,42.98,30.83,24.64
1985,16.2,20.03,32.04,41.29,48.97,54.93,60.76,58.21,50.94,42.84,30.22,18.14
1986,23.32,25.75,33.78,40.3,48.45,57.65,60.93,58.86,52.81,42.42,31.44,25.14
1987,21.36,27.16,31.24,39.38,50.54,57.22,60.69,59.14,51.78,39.0,33.13,25.18
1988,17.44,21.72,29.89,38.34,47.48,56.7,61.38,60.46,51.6,40.89,32.52,22.41
1989,23.04,18.81,30.9,39.81,47.73,55.65,61.43,59.0,51.19,41.16,31.03,16.57
1990,25.83,25.23,33.37,40.01,46.83,57.22,60.76,59.63,54.34,40.71,32.97,19.8
1991,19.72,28.0,31.93,40.66,50.4,56.84,61.14,60.26,52.25,41.4,29.39,26.1
1992,23.72,29.34,33.04,40.08,48.04,55.08,59.4,57.34,51.8,41.45,30.92,22.6
1993,21.33,20.95,31.01,37.98,48.38,55.13,60.28,59.54,50.27,40.59,28.13,24.37
1994,18.9,20.7,32.2,39.74,47.86,57.97,60.75,59.2,52.41,42.51,32.25,26.76
1995,23.99,25.93,32.27,37.31,47.21,55.26,60.64,61.5,51.82,41.41,30.61,23.56
1996,18.61,24.22,26.94,37.58,48.99,57.07,60.98,59.65,51.51,41.23,29.73,24.12
1997,20.1,26.02,32.23,35.96,46.49,56.17,60.51,59.34,53.89,41.59,30.88,24.94
1998,25.66,29.61,30.83,38.66,49.78,55.9,62.89,61.07,56.01,43.32,35.04,25.11
1999,23.13,28.22,30.83,39.67,47.37,56.23,61.74,59.88,50.74,40.62,35.06,25.11
2000,22.91,28.36,33.98,39.42,50.27,56.44,60.82,60.75,52.05,43.02,28.15,18.34
2001,21.31,23.49,30.72,40.73,49.5,56.44,61.84,61.18,52.54,41.23,35.78,26.08
2002,23.9,24.22,27.37,41.04,46.09,57.74,62.91,59.77,54.05,41.07,31.19,25.27
2003,22.24,22.44,31.62,39.51,48.76,55.56,62.22,61.88,52.05,43.39,32.0,25.14
2004,20.26,23.38,35.53,39.97,49.44,55.76,60.53,57.78,53.04,44.37,34.16,24.62
2005,23.92,27.73,30.72,39.36,47.1,56.91,62.1,60.46,53.91,43.3,33.17,22.62
2006,28.22,22.98,31.5,42.04,49.06,57.4,63.23,60.66,50.72,40.5,32.63,26.02
2007,21.33,21.94,35.28,38.23,49.3,56.82,61.95,61.83,53.46,44.35,32.09,23.47
2008,19.76,23.38,29.66,37.33,46.56,56.57,61.09,59.61,52.43,41.16,32.9,21.15
2009,19.76,25.03,30.9,38.41,49.14,56.48,59.94,59.18,53.83,40.1,34.12,20.3
2010,21.31,22.44,32.02,40.33,47.75,58.39,62.44,61.27,53.19,42.84,30.81,22.91
2011,19.36,21.67,31.84,39.72,47.05,56.93,63.36,61.65,52.74,42.35,32.4,25.27
2012,24.67,26.96,37.96,41.72,50.23,56.88,63.55,60.21,52.54,41.7,32.09,26.02
2013,21.79,24.08,29.1,37.26,48.18,57.78,61.99,60.58,54.72,41.54,30.74,20.61
2014,18.68,21.24,28.18,38.8,48.45,57.36,60.78,60.26,54.12,44.46,28.22,28.26
2015,22.89,21.58,33.03,40.62,49.12,59.07,61.84,60.1,55.74,45.37,33.96,29.25
2016,22.59,28.11,35.51,40.8,48.15,58.6,62.53,61.23,54.84,45.55,36.36,23.27
2017,24.35,30.2,34.47,41.7,47.86,57.43,62.83,59.76,53.78,42.94,33.87,23.77
