Year,Jan,Feb,March,April,May,June,July,Aug,Sept,Oct,Nov,Dec
1937,24.84,31.73,38.84,50.11,61.93,68.79,74.59,74.66,65.7,53.89,40.82,32.7
1938,32.14,36.0,45.01,51.73,59.85,68.77,73.78,73.72,66.63,56.41,39.94,34.21
1939,33.91,29.98,42.51,51.53,62.71,68.86,74.88,72.64,67.37,54.72,42.3,37.72
1940,23.83,33.85,41.52,50.23,60.85,69.6,74.14,72.14,65.35,56.08,39.0,36.05
1941,32.2,33.53,39.2,52.02,62.33,67.8,73.98,72.07,64.53,55.2,42.91,36.12
1942,29.84,30.74,41.31,53.06,59.09,67.91,73.96,71.78,63.66,54.57,43.16,32.97
1943,29.41,36.28,38.5,52.88,59.72,68.77,74.26,73.45,64.33,53.69,40.91,32.59
1944,32.02,34.5,38.5,48.97,62.02,68.36,72.79,72.1,65.26,55.27,41.5,30.67
1945,30.49,35.28,45.54,50.22,58.28,65.88,72.93,72.16,64.99,54.14,42.01,29.08
1946,31.39,34.88,46.78,54.61,58.75,68.32,73.85,71.17,64.54,53.15,41.74,36.18
1947,31.78,31.41,38.75,50.95,60.13,66.72,72.81,74.08,66.54,58.8,38.1,32.92
1948,27.88,31.62,38.71,53.35,60.24,68.76,73.26,72.05,66.07,53.19,41.59,32.58
1949,25.92,31.91,40.77,52.07,61.72,69.24,74.21,72.1,63.73,54.05,45.27,33.26
1950,30.43,35.55,38.84,48.65,59.45,67.93,71.22,70.02,63.5,57.47,40.64,33.01
1951,30.2,34.54,38.55,49.73,60.76,66.65,73.69,71.89,64.09,54.0,38.08,31.23
1952,32.0,35.46,37.69,51.66,60.58,70.75,74.1,72.82,65.89,52.95,39.92,33.44
1953,36.43,35.87,43.75,48.76,59.18,70.18,74.17,72.1,66.16,56.21,43.88,33.69
1954,30.9,41.41,39.25,54.18,58.59,68.85,75.47,72.18,66.45,54.68,44.06,33.91
1955,29.35,31.05,40.06,52.86,61.29,66.54,74.44,73.87,65.88,55.04,38.23,31.71
1956,31.01,32.27,40.75,49.37,61.77,70.36,73.06,71.69,65.1,56.16,40.32,36.23
1957,27.07,38.07,41.27,50.7,59.65,68.7,74.28,71.65,64.18,51.67,40.26,37.0
1958,31.6,31.98,37.67,50.27,62.42,67.93,72.63,73.29,65.43,54.73,43.02,32.22
1959,29.5,32.49,41.45,51.6,60.84,69.96,73.58,73.17,64.74,53.33,38.66,35.94
1960,29.46,30.52,35.91,52.59,59.31,69.08,73.89,72.21,66.45,54.77,42.73,30.4
1961,29.71,37.42,43.47,48.67,58.87,69.49,73.24,72.7,63.41,53.85,40.5,31.08
1962,26.96,34.92,37.9,51.84,62.24,67.91,72.07,72.12,64.18,56.12,43.18,33.4
1963,24.44,34.12,43.72,51.89,61.02,68.67,73.6,71.98,66.34,59.36,44.04,27.9
1964,31.53,31.77,38.82,51.3,61.43,68.0,74.66,70.72,63.7,53.78,42.33,32.04
1965,31.8,32.52,35.44,51.89,60.8,66.85,72.61,71.06,61.77,54.99,44.65,35.85
1966,26.38,31.24,43.0,49.96,60.19,67.93,75.07,70.86,64.54,52.83,43.21,32.68
1967,33.1,32.88,43.63,51.01,57.63,67.55,72.52,71.22,64.06,53.92,41.54,32.07
1968,28.94,32.92,43.56,50.58,58.17,68.5,72.86,70.59,63.9,54.64,41.14,30.04
1969,29.37,32.81,36.03,52.63,61.41,66.83,74.1,73.22,65.55,51.03,41.59,33.46
1970,27.14,35.35,38.5,49.44,61.07,68.74,73.96,73.38,64.58,52.27,41.31,33.58
1971,29.41,33.48,39.65,50.27,58.26,69.44,72.36,72.01,64.33,55.08,41.61,33.98
1972,29.93,33.55,44.04,50.81,60.53,68.22,72.18,71.67,64.44,52.29,38.93,29.86
1973,29.59,33.58,44.29,48.83,59.23,68.95,73.26,72.61,64.4,56.07,42.93,33.71
1974,31.01,34.74,44.38,51.55,60.37,68.49,74.08,70.3,62.31,53.89,42.39,33.66
1975,32.34,32.76,38.7,46.85,60.35,67.51,73.56,71.53,62.89,54.63,42.6,34.29
1976,29.93,39.56,42.31,51.85,59.04,67.8,72.9,70.66,64.18,50.0,38.48,30.92
1977,23.09,36.03,43.18,54.07,61.66,70.34,74.43,71.78,65.93,53.98,42.87,33.28
1978,25.86,27.99,41.31,51.58,59.74,68.94,73.8,71.8,65.84,54.41,41.47,29.8
1979,21.9,28.13,42.06,50.14,59.13,67.82,73.13,70.97,66.09,55.26,39.94,36.03
1980,31.12,32.85,39.36,51.44,60.28,68.74,75.76,72.79,66.24,52.59,42.31,35.19
1981,32.41,36.59,42.85,55.13,58.96,69.82,73.96,72.1,64.92,52.32,44.74,33.66
1982,26.22,32.59,42.03,48.63,60.8,66.33,73.2,72.09,64.04,53.26,41.13,35.82
1983,33.12,36.86,42.4,47.01,57.94,67.1,73.99,75.06,65.59,55.0,43.03,25.47
1984,28.83,37.38,40.08,49.6,60.08,68.61,73.17,73.13,63.14,53.6,41.54,34.54
1985,26.31,30.87,43.48,54.36,62.08,68.11,74.05,71.02,62.73,54.3,39.51,28.81
1986,34.68,35.85,46.18,52.86,61.09,70.41,73.51,71.73,63.7,54.01,41.4,34.43
1987,31.44,37.38,42.57,53.53,62.96,70.25,73.27,71.87,65.25,52.95,43.97,34.54
1988,27.79,33.69,42.4,51.82,61.21,70.88,74.79,73.67,64.6,53.96,43.29,33.46
1989,34.09,29.17,42.67,52.88,60.46,68.13,74.23,71.31,64.08,54.34,42.93,27.73
1990,36.5,36.7,44.74,52.52,58.86,70.23,73.26,72.28,67.35,53.98,44.92,30.83
1991,29.48,39.81,43.32,52.54,61.97,69.08,73.89,72.99,64.9,54.75,39.43,35.74
1992,33.62,39.7,44.71,52.54,61.16,67.44,71.22,69.84,64.67,54.54,40.06,31.75
1993,30.47,31.14,41.79,49.91,60.89,67.21,72.16,71.89,63.3,52.97,39.22,34.2
1994,29.34,31.87,44.51,52.66,60.67,70.95,73.62,72.21,65.55,54.21,42.57,36.23
1995,33.08,37.36,43.34,49.41,58.64,67.55,73.54,74.32,64.69,54.45,42.04,33.42
1996,29.7,35.69,39.02,50.65,60.98,69.87,73.63,72.43,63.46,53.65,39.63,33.91
1997,29.95,36.05,44.67,47.91,59.4,68.31,73.18,71.74,66.42,53.92,40.87,34.0
1998,34.99,38.71,41.34,51.06,62.47,68.13,75.49,74.03,68.99,55.13,44.91,35.55
1999,33.78,39.49,42.8,51.55,60.06,68.31,74.3,72.91,64.35,54.75,48.11,36.1
2000,33.57,39.78,46.04,52.59,63.14,69.03,73.87,74.05,65.57,55.09,38.03,28.44
2001,31.35,33.98,41.49,53.08,62.82,69.24,74.48,74.3,65.7,54.37,47.41,36.12
2002,34.48,36.39,39.54,53.49,59.29,70.86,75.85,72.86,66.85,51.84,41.97,35.08
2003,32.81,32.79,43.3,51.89,60.98,68.05,75.47,74.66,64.96,56.55,42.35,35.29
2004,30.34,33.57,47.41,52.68,61.92,68.09,72.9,70.16,65.66,55.36,43.99,35.06
2005,33.39,37.94,42.31,52.27,59.56,69.21,75.31,73.2,67.37,55.38,45.01,32.7
2006,38.93,34.83,42.62,55.26,62.28,70.75,76.41,73.4,63.3,52.59,44.08,36.57
2007,31.35,32.41,47.66,50.54,62.33,69.87,74.7,74.64,66.43,56.68,44.01,33.22
2008,30.27,34.7,41.86,50.4,59.36,69.6,74.08,72.28,65.21,53.98,43.92,31.87
2009,31.05,36.77,42.87,50.92,61.65,68.54,72.63,71.89,66.38,50.5,45.84,29.64
2010,30.67,31.8,43.57,53.24,59.88,70.48,74.71,74.05,66.49,56.14,42.31,32.47
2011,29.71,33.04,43.07,51.96,59.13,69.82,76.14,75.0,66.09,55.09,43.75,35.4
2012,36.12,37.51,50.41,54.68,63.45,70.54,76.77,73.8,66.31,53.89,44.01,35.92
2013,32.25,34.77,40.91,49.68,60.85,70.39,74.21,72.99,66.96,53.44,41.61,31.06
2014,30.56,32.13,40.51,51.69,61.27,69.58,73.29,72.25,66.2,56.93,39.25,36.81
2015,33.08,32.99,45.39,53.24,60.84,71.37,73.92,72.95,68.54,57.24,44.6,38.66
2016,32.22,39.47,47.5,53.19,60.33,71.76,75.22,73.53,67.12,57.72,47.97,32.95
2017,33.55,41.16,46.13,53.78,60.57,70.34,75.7,72.01,66.27,55.67,45.01,34.29
